iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
79 , 3.0222222222222226 , 1.1 , 1.1 , 20 , 14 , 18 , 52 , 4 , 4.972 , 4.972 , 3.036 , 3.036 , 1.314 , 0.929 , 14.43 , 1.0584091122185086 , 10.982 , 0.05 , 142.50753942299065
58 , 4.0 , 1.2 , 1.2 , 15 , 15 , 15 , 45 , 3 , 8.211 , 8.211 , 6.001 , 6.001 , 1.329 , 0.908 , 19.099 , 2.35563572138569 , 14.371 , 0.05 , 148.71214824610485
39 , 5.3428571428571425 , 1.0 , 1.0 , 15 , 19 , 14 , 48 , 3 , 11.582 , 11.582 , 12.202 , 12.202 , 1.341 , 0.902 , 25.51 , 4.293440059799277 , 19.023 , 0.038 , 158.2833450325199
24 , 6.3428571428571425 , 0.9 , 0.9 , 15 , 22 , 14 , 51 , 3 , 14.126 , 14.126 , 17.678 , 17.678 , 1.371 , 0.902 , 30.285 , 5.928349966429402 , 22.09 , 0.038 , 166.30481856381425
20 , 7.174999999999998 , 0.8 , 0.8 , 15 , 26 , 16 , 57 , 3 , 17.648 , 17.648 , 22.572 , 22.572 , 1.403 , 0.909 , 34.258 , 7.6289222276525015 , 24.418 , 0.038 , 174.71967087676364
13 , 8.000000000000002 , 0.7 , 0.7 , 15 , 30 , 18 , 63 , 3 , 22.812 , 22.812 , 29.434 , 29.434 , 1.449 , 0.915 , 38.197 , 10.068619555142517 , 26.361 , 0.038 , 186.7459507489719
10 , 9.0 , 0.7 , 0.7 , 15 , 30 , 15 , 60 , 3 , 22.812 , 22.812 , 37.377 , 37.377 , 1.476 , 0.905 , 42.972 , 11.704244751685115 , 29.114 , 0.038 , 194.6887820789333
5 , 10.200000000000001 , 0.6 , 0.6 , 18 , 36 , 15 , 69 , 3 , 23.931 , 23.931 , 51.774 , 51.774 , 1.534 , 0.911 , 48.701 , 14.85340652615758 , 31.748 , 0.038 , 210.20522374817315
2 , 11.4 , 0.5 , 0.5 , 21 , 42 , 15 , 78 , 3 , 27.633 , 27.633 , 75.468 , 75.468 , 1.634 , 0.915 , 54.431 , 20.423506989617767 , 33.312 , 0.038 , 237.60054209154498
1 , 12.408163265306122 , 0.5 , 0.5 , 21 , 43 , 14 , 78 , 3 , 27.596 , 27.596 , 84.718 , 84.718 , 1.668 , 0.911 , 59.245 , 22.308359326284013 , 35.519 , 0.038 , 246.81345758041934